COMPANY	COUNTRY	MARKET
Canadian 88 Energy Corp.	Canada	AMEX
Canadian Imperial Bank of Commerce	Canada	NYSE
Canadian National Railway Ltd.	Canada	NYSE
Canadian Natural Resources Ltd.	Canada	NYSE
Canadian Pacific Railway Ltd.	Canada	NYSE
Canadian Zinc Corp.	Canada	OTC
Canalaska Ventures Ltd.	Canada	OTC
Canarc Resources Corp.	Canada	OTC
Canon Inc.	Japan	NYSE
CanWest Global Communications Co.	Canada	NYSE
Canwest Media Inc.	Canada	OTC - Debt
Capital Environmental Resource Inc.	Canada	NMS
Carlisle Holdings Ltd.	Belize	NMS
Carlton Communications plc	United Kingdom	NMS
Carmanah Technologies Corp.	Canada	OTC
Carmel Container Systems Ltd.	Israel	AMEX
CBX Ventures, Inc.	Canada	OTC
CE Franklin Ltd.	Canada	AMEX
Cedara Software Corp.	Canada	NMS
Celanese AG	Germany	NYSE
Celestica Inc.	Canada	NYSE
Celltech Group plc	United Kingdom	NYSE
Celulosa Arauco y Constitucion S.A.	Chile	OTC - Debt
Cemex, S.A. de C.V.	Mexico	NYSE
Cenargo International plc	United Kingdom	OTC - Debt
Cenes Pharmaceuticals plc	United Kingdom	OTC
Central Fund of Canada Ltd.	Canada	AMEX
Central Minera Corp.	Canada	OTC
Centurion Energy International Inc.	Canada	OTC
Ceragon Networks Ltd.	Israel	NMS
Certicom Corp.	Canada	NMS
Ceyoniq AG	Germany	NMS
Cez, A.S.	Czech Republic	OTC - Debt
CFM Majestic Inc.	Canada	OTC
CGI Group Inc.	Canada	NYSE
CGU Group Canada Ltd.	Canada	OTC - Debt
Chai-Na-Ta Corp.	Canada	OTC
Chartered Semiconductor Manufacturing Ltd.	Singapore	NMS
Chartwell Technology Inc.	Canada	OTC
CHC Helicopter Corp.	Canada	NMS
Check Point Software Technologies Ltd.	Israel	NMS
China Convergent Corp. Ltd.	Bermuda	OTC
China Eastern Airlines Corp. Ltd.	China	NYSE
China Enterprises Ltd.	Bermuda	NYSE
China Mobile (Hong Kong) Ltd.	Hong Kong	NYSE
China Petroleum & Chemical Corp. (Sinopec)	China	NYSE
China Southern Airlines Corp. Ltd.	China	NYSE
China Unicom Ltd.	Hong Kong	NYSE
China Yuchai International Ltd.	Bermuda	NYSE
Chinadotcom Corp.	Cayman Islands	NMS
Chipmos Technologies (Bermuda) Ltd.	Bermuda	NMS
Ciba Speciality Chemicals Holding Inc.	Switzerland	NYSE
Cimatron Ltd.	Israel	NMS
Cinema Internet Networks Inc.	Canada	OTC
Cinram International Ltd.	Canada	OTC
Citadel Gold Mines Inc.	Canada	OTC
City Telecom (H.K.) Ltd.	Hong Kong	NMS
CityView Corp Ltd.	Australia	OTC
Claxson Interactive Group plc	British Virgin Islands	NMS
Clearly Canadian Beverage Corp.	Canada	OTC
Clearwave N.V.	Netherlands	OTC
Clondalkin Industries plc	Ireland	OTC - Debt
CLP Power Hong Kong Ltd.	Hong Kong	OTC
Clubhaus plc	United Kingdom	OTC - Debt
CNH Global N.V.	Netherlands	NYSE
CNOOC Ltd.	Hong Kong	NYSE
Coca-Cola Embonor S.A.	Chile	OTC
Coca-Cola Femsa S.A. de C.V.	Mexico	NYSE
Cognicase Inc.	Canada	NMS
Cognos Inc.	Canada	NMS
Coles Myer Ltd.	Australia	NYSE
Colt Telecom Group plc	United Kingdom	NMS
Commercial Consolidators Corp.	Canada	AMEX
Commonwealth Bank of Australia	Australia	OTC
Commtouch Software Ltd.	Israel	NMS
Compagnie Generale de Geophysique	France	NYSE
Companhia Brasileira de Distribuicao	Brazil	NYSE
Companhia de Alimentos Fargo	Argentina	OTC - Debt
Companhia de Bedidas das Americas - AMBEV	Brazil	NYSE
Companhia Energetica de Minas Gerais - CEMIG	Brazil	NYSE
Companhia Parananse de Energia - Copel	Brazil	NYSE
Companhia Siderurgica Nacional	Brazil	NYSE
Companhia Vale de Rio Doce S.A.	Brazil	NYSE
Compania Anonima Nacional Telefonos de Venezuela S.A.	Venezuela	NYSE
Compania Cervecerias Unidas S.A.	Chile	NYSE
Compania de Minas Buenaventura S.A.	Peru	NYSE
Compania de Telecomunicaciones de Chile S.A.	Chile	NYSE
Compania Internacional de Telecomunicaciones S.A.	Argentina	OTC - Debt
Compugen Ltd.	Israel	NMS
Comunicacion Celular S.A.	Colombia	OTC - Debt
Concordia Bus AB	Sweden	OTC - Debt
Coniagas Resources Ltd	Canada	OTC
Conoco Canada Resources Ltd.	Canada	NYSE - Preferred
Consolidated Envirowaste Industries Inc.	Canada	OTC
Consolidated Mercantile Inc.	Canada	SM CAP
Consolidated Trillion Resources Ltd.	Canada	OTC
Consolidated Water Co. Ltd.	Cayman Islands	NMS
Consortium G Dina Group S.A. de C.V.	Mexico	OTC
Consumers Packaging Inc.	Canada	OTC - Debt
Continental Energy Corp	Canada	OTC
