COMPANY	COUNTRY	MARKET
Tokio Marine & Fire Insurance Co., Ltd.	Japan	NMS
Tomkins plc	United Kingdom	NYSE
Toolex International N.V.	Netherlands	OTC
Top Image Systems Ltd.	Israel	SM CAP
Toronto-Dominion Bank	Canada	NYSE
TotalFinaElf S.A.	France	NYSE
Tower Semiconductor Ltd.	Israel	NMS
Toyota Motor Corp.	Japan	NYSE
TPG N.V.	Netherlands	NYSE
TPN Holdings plc	United Kingdom	AMEX
Tracer Petroleum Corp.	Canada	OTC
Trade Wind Communications Ltd.	Bermuda	OTC
Trader.com N.V.	Netherlands	NMS
TradeRadius Online Inc.	Canada	OTC
Tramford International Ltd.	British Virgin Islands	NMS
TransAlta Corp.	Canada	NYSE
TransCanada Pipelines Ltd.	Canada	NYSE
Transco plc	United Kingdom	NYSE - Debt
Transcom Worldwide S.A.	Luxembourg	NMS
Transgene S.A.	France	NMS
Transglobe Energy Corp.	Canada	OTC
Trans-Orient Petroleum Inc.	Canada	OTC
Transportadora de Gas del Sur S.A.	Argentina	NYSE
Transtel S.A.	Colombia	OTC - Debt
Tranz Rail Holdings Ltd.	New Zealand	NMS
Travelex plc	United Kingdom	OTC - Debt
Trenche Electric S.A.	France	OTC - Debt
Trend Micro Inc.	Japan	NMS
Triant Technologies Inc.	Canada	OTC
Triband Resource Corp.	Canada	OTC
Tricom, S.A.	Dominican Republic	NYSE
Trimark Oil & Gas Ltd.	Canada	OTC
Trinity Biotech plc	Ireland	SM CAP
Trintech Group plc	Ireland	NMS
Triple P N.V.	Netherlands	SM CAP
Trivalence Mining Corp.	Canada	OTC
Trizec Hahn Corp.	Canada	NYSE
Trooper Technologies Inc.	Canada	OTC
TTI Team Telecom International Ltd.	Israel	NMS
Tubos de Acero de Mexico S.A.	Mexico	AMEX
Turbodyne Technologies Inc.	Canada	OTC
Turkcell Iletisim Hizmetleri AS	Turkey	NYSE
TV Azteca, S.A. de C.V.	Mexico	NYSE
TVX Gold Inc.	Canada	NYSE
Twin Mining Corp.	Canada	OTC
UBS AG	Switzerland	NYSE
Ultra Petroleum Corp.	Canada	OTC
Ultrapar Participacoes S.A.	Brazil	NYSE
Ultrapetrol (Bahamas) Ltd.	Bahamas	OTC - Debt
Unibail	France	OTC
Unibanco Holdings S.A.	Brazil	NYSE
Unibanco-Uniao de Bancos Brasileiros S.A.	Brazil	NYSE
Uniglobe.com Inc.	Canada	OTC
Unilens Vision Inc.	Canada	OTC
Unilever N.V.	Netherlands	NYSE
Unilever plc	United Kingdom	NYSE
United Biscuits Finance plc	United Kingdom	OTC - Debt
United Business Media plc	United Kingdom	NMS
United Microelectronics Corp.	Taiwan	NYSE
United Utilities plc	United Kingdom	NYSE
Universal Domains Inc.	Canada	OTC
UPM Kymmene Miramichi Inc.	Canada	OTC - Debt
UPM-Kymmene OYJ	Finland	NYSE
Usinor Sacilor	France	OTC - Debt
UTi Worldwide Inc.	British Virgin Islands	NMS
Van der Moolen Holding N.V.	Netherlands	NYSE
Vancan Capital Corp.	Canada	OTC
Vannessa Ventures Ltd.	Canada	OTC
Vantico Group S.A.	Luxembourg	OTC - Debt
Vasogen, Inc.	Canada	AMEX
Venture Pacific Development Corp.	Canada	OTC
Verena Minerals Corp.	Canada	OTC
Veritas Holdings GmbH	Germany	OTC - Debt
Vernalis Group plc	United Kingdom	OTC
Veronex Technologies Inc.	Canada	OTC
Versatel Telecom International N.V.	Netherlands	NMS
VI Group plc	United Kingdom	OTC
Videsh Sanchar Nigam Ltd.	India	NYSE
Vimpel Communications	Russia	NYSE
Vina Concha y Toro S.A.	Chile	NYSE
Virgin Express Holdings plc	United Kingdom	NMS
Virginia Gold Mines Inc.	Canada	OTC
VirtualSellers.com Inc	Canada	OTC
Viryanet Ltd.	Israel	NMS
Visible Genetics Inc.	Canada	NMS
Vista Gold Corp.	Canada	AMEX
Vitran Co. Ltd.	Canada	AMEX
Vitro S.A.	Mexico	NYSE
Vivendi Environment	France	NYSE
Vivendi Universal	France	NYSE
Vocaltec Communications Ltd.	Israel	NMS
Vodafone Group plc	United Kingdom	NYSE
VoiceIQ Inc.	Canada	OTC
Votorantim Celulose e Papel S.A.	Brazil	NYSE
W.P. Stewart & Co. Ltd.	Bermuda	NYSE
Wacoal Corp.	Japan	SM CAP
Waterford Wedgwood plc	Ireland	NMS
Waterford Wedgwood UK plc	United Kingdom	OTC
Wavecom S.A.	France	NMS
Wescast Industries Inc.	Canada	NMS
Westaim Corp.	Canada	NMS
Westcoast Energy Inc.	Canada	NYSE
Westpac Banking Corp.	Australia	NYSE
Wharf Holdings Ltd.	Hong Kong	OTC - Debt
WideCom Group, Inc.	Canada	OTC
William Hill Ltd.	United Kingdom	OTC - Debt
Willis Group Holdings Ltd.	Bermuda	NYSE
Willis Group Ltd.	United Kingdom	OTC - Debt
Wipro Ltd.	India	NYSE
WMC Ltd.	Australia	NYSE
Wolseley plc	United Kingdom	NYSE
Workstream Inc.	Canada	SM CAP
World Gaming plc	United Kingdom	OTC
World Heart Corp.	Canada	SM CAP
World Ventures Inc.	Canada	OTC
WorldWide Technologies Inc.	Canada	OTC
WPP Group plc	United Kingdom	NMS
Xcelera.com Inc.	Cayman Islands	AMEX
Xeikon N.V.	Belgium	NMS
Xenova Group plc	United Kingdom	NMS
Yanzhou Coal Mining Co. Ltd.	China	NYSE
Yellow Pages Ltd.	Netherlands	OTC - Debt
Yorkshire Power Group Ltd.	United Kingdom	NYSE - Preferred
YPF S.A.	Argentina	NYSE
Zarlink Semiconductor Inc.	Canada	NYSE
Zemex Corp.	Canada	NYSE
Zi Corp.	Canada	SM CAP
Ztest Electronics Inc.	Canada	OTC
